Fiscal Week,MyWay,MyWay %,Paper Ticket,Paper Ticket %,Total
20/06/2016,"242,631",0.9089039479451131,"24,318",0.09109605205488688,"266,949"
27/06/2016,"214,832",0.9051579577150273,"22,510",0.09484204228497274,"237,342"
04/07/2016,"170,130",0.8829344999922154,"22,557",0.11706550000778465,"192,687"
11/07/2016,"179,596",0.881725392391267,"24,091",0.11827460760873301,"203,687"
18/07/2016,"271,885",0.9089647794326596,"27,230",0.09103522056734033,"299,115"
25/07/2016,"277,826",0.9155939598863688,"25,612",0.08440604011363112,"303,438"
01/08/2016,"275,539",0.9149286589475991,"25,620",0.0850713410524009,"301,159"
08/08/2016,"270,668",0.9137027735018499,"25,564",0.0862972264981501,"296,232"
15/08/2016,"274,086",0.9142904796851024,"25,694",0.08570952031489759,"299,780"
22/08/2016,"272,925",0.916246185454875,"24,948",0.08375381454512494,"297,873"
29/08/2016,"268,884",0.9179121291776192,"24,046",0.08208787082238077,"292,930"
05/09/2016,"260,095",0.9149189888913122,"24,187",0.08508101110868785,"284,282"
12/09/2016,"256,982",0.9101669582710575,"25,364",0.0898330417289425,"282,346"
19/09/2016,"265,369",0.9068197117931088,"27,268",0.09318028820689113,"292,637"
26/09/2016,"166,300",0.8787132636562504,"22,954",0.12128673634374967,"189,254"
03/10/2016,"172,979",0.8827891357823073,"22,967",0.11721086421769263,"195,946"
10/10/2016,"277,802",0.9088624905531981,"27,857",0.09113750944680182,"305,659"
17/10/2016,"273,113",0.9117442830913036,"26,437",0.08825571690869638,"299,550"
24/10/2016,"272,962",0.9126966081746202,"26,110",0.08730339182537984,"299,072"
31/10/2016,"266,710",0.911249598545882,"25,976",0.08875040145411807,"292,686"
07/11/2016,"265,988",0.9088604221266243,"26,673",0.09113957787337568,"292,661"
14/11/2016,"268,197",0.9083448768708151,"27,062",0.09165512312918489,"295,259"
21/11/2016,"254,330",0.9042973055616791,"26,916",0.0957026944383209,"281,246"
28/11/2016,"248,409",0.8979017187471761,"28,246",0.10209828125282391,"276,655"
05/12/2016,"227,061",0.8925073110908462,"27,347",0.1074926889091538,"254,408"
12/12/2016,"204,247",0.8864425463951531,"26,165",0.11355745360484697,"230,412"
19/12/2016,"147,755",0.8725087838436328,"21,590",0.1274912161563672,"169,345"
26/12/2016,"61,641",0.809149383040168,"14,539",0.19085061695983196,"76,180"
02/01/2017,"116,585",0.8518123433698408,"20,282",0.1481876566301592,"136,867"
09/01/2017,"162,608",0.8805900637936076,"22,050",0.11940993620639236,"184,658"
16/01/2017,"169,780",0.8850683167645848,"22,047",0.11493168323541525,"191,827"
23/01/2017,"145,416",0.8781265474220703,"20,182",0.12187345257792968,"165,598"
30/01/2017,"248,724",0.903826447181947,"26,466",0.09617355281805298,"275,190"
06/02/2017,"270,115",0.9089364250934628,"27,062",0.09106357490653719,"297,177"
13/02/2017,"289,019",0.9092593641265706,"28,843",0.09074063587342936,"317,862"
20/02/2017,"309,304",0.9164237123420796,"28,208",0.08357628765792031,"337,512"
27/02/2017,"311,127",0.9197049868456059,"27,163",0.08029501315439416,"338,290"
06/03/2017,"302,657",0.9157493751928883,"27,845",0.08425062480711161,"330,502"
13/03/2017,"261,551",0.9126058102289618,"25,047",0.08739418977103817,"286,598"
20/03/2017,"304,908",0.9202047394280334,"26,440",0.07979526057196663,"331,348"
27/03/2017,"306,087",0.9215685093801654,"26,050",0.07843149061983459,"332,137"
03/04/2017,"281,205",0.9168462614399969,"25,504",0.08315373856000313,"306,709"
10/04/2017,"153,348",0.8927883187880975,"18,415",0.10721168121190244,"171,763"
17/04/2017,"184,512",0.8967732842124704,"21,239",0.10322671578752958,"205,751"
24/04/2017,"229,783",0.9127899355279518,"21,954",0.08721006447204821,"251,737"
01/05/2017,"296,120",0.9193047160468532,"25,993",0.08069528395314687,"322,113"
08/05/2017,"295,563",0.9236141709400106,"24,444",0.07638582905998931,"320,007"
15/05/2017,"290,910",0.9235648568507807,"24,076",0.07643514314921933,"314,986"
